0,1,2,3,4,5,6,7,8,9
Launch of 23 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. First time 23 Starlink v2 mini satellites are launched on a flight from Vandenberg.,,,,,,,,,
310,"March 16, 202400:21[72]",F9 B5B1062‑19,"Kennedy, LC‑39A",Starlink: Group 6-44 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 16th time.,,,,,,,,,
311,"March 19, 202402:28[73]",F9 B5B1075‑10,"Vandenberg, SLC‑4E",Starlink: Group 7-16 (20 satellites) + 2 Starshield satellites,"~16,300 kg (35,900 lb)(Starlink)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 20 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[74][75],,,,,,,,,
312,"March 21, 202420:55[76]",F9 B5B1080‑6,"Cape Canaveral, SLC‑40",SpaceX CRS-30 (Dragon C209-4),"2,721 kg (5,999 lb)",LEO (ISS),NASA (CRS),Success,Success (LZ‑1)
"Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[77] First launch of Dragon 2 from SLC-40.",,,,,,,,,
313,"March 24, 202403:09[78]",F9 B5B1060‑19,"Kennedy, LC‑39A",Starlink: Group 6-42 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
314,"March 25, 202423:42[79]",F9 B5B1078‑8,"Cape Canaveral, SLC‑40",Starlink: Group 6-46 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[80]",,,,,,,,,
315,"March 30, 202421:52[81]",F9 B5B1076‑12,"Kennedy, LC‑39A",Eutelsat 36D,"5,000 kg (11,000 lb)",GTO,Eutelsat,Success,Success (JRTI)
Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,,,,,,,,,
316,"March 31, 202401:30[82]",F9 B5B1067‑18,"Cape Canaveral, SLC‑40",Starlink: Group 6-45 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,,,,,,,,,
317,"April 2, 202402:30[83]",F9 B5B1071‑15,"Vandenberg, SLC‑4E",Starlink: Group 7-18 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,,,,,
318,"April 5, 202409:12[84]",F9 B5B1069‑14,"Cape Canaveral, SLC‑40",Starlink: Group 6-47 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
319,"April 7, 202402:25[85]",F9 B5B1081‑6,"Vandenberg, SLC‑4E",Starlink: Group 8-1 (21 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,,,,,
320,"April 7, 202423:16[86]",F9 B5B1073‑14,"Kennedy, LC‑39A","Bandwagon-1 (11 payload smallsat rideshare)
425 Project Flight 2",Unknown[l],LEO,"Various
Republic of Korea Armed Forces",Success,Success (LZ‑1)
"Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[67][87] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).",,,,,,,,,
321,"April 10, 202405:40[88]",F9 B5B1083‑2,"Cape Canaveral, SLC‑40",Starlink: Group 6-48 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,,,,,,,,,
322,"April 11, 202414:25[89]",F9 B5B1082‑3,"Vandenberg, SLC‑4E",USSF-62 (WSF-M 1),"1,200 kg (2,600 lb)",SSO,USSF,Success,Success (LZ‑4)
"Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[90][48]",,,,,,,,,
323,"April 13, 202401:40[91]",F9 B5B1062‑20,"Cape Canaveral, SLC‑40",Starlink: Group 6-49 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record.",,,,,,,,,
324,"April 17, 202421:26[92]",F9 B5B1077‑12,"Kennedy, LC‑39A",Starlink: Group 6-51 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
325,"April 18, 202422:40[93]",F9 B5B1080‑7,"Cape Canaveral, SLC‑40",Starlink: Group 6-52 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
